date,GOOG,rf,spindx
20100101,529.94397,0.000062,1073.87
20100201,526.79999,0.000015,1104.49
20100301,567.12,0.000042,1169.43
20100401,525.69501,0.000129,1186.69
20100501,485.63,0.000129,1089.41
20100601,444.95001,0.000118,1030.71
20100701,484.85001,0.000176,1101.6
20100801,450.01999,0.000145,1049.33
20100901,525.78998,0.000044,1141.2
20101001,613.70001,0.000159,1183.26
20101101,555.71002,0.000046,1180.55
20101201,593.96997,0.00022,1257.64
20110101,600.35999,0.000058,1286.12
20110201,613.40002,0.000142,1327.22
20110301,586.76001,0.000237,1325.83
20110401,544.09998,0.000208,1363.61
20110501,529.02002,0.000064,1345.2
20110601,506.38,0.000103,1320.64
20110701,603.69,-0.000083,1292.28
20110801,540.96002,0.000231,1218.89
20110901,515.03998,0.000008,1131.42
20111001,592.64001,0.000025,1253.3
20111101,599.39001,0.000006,1246.96
20111201,645.90002,-0.000009,1257.6
20120101,580.10999,-0.000048,1312.41
20120201,618.25,0.000018,1365.68
20120301,641.23999,0.000088,1408.47
20120401,604.84998,0.000036,1397.91
20120501,580.85999,0.000175,1310.33
20120601,580.07001,0.000095,1362.16
20120701,632.96997,0.000102,1379.32
20120801,685.09003,0.000123,1406.58
20120901,754.5,0.000109,1440.67
20121001,680.29761,0.000067,1412.16
20121101,698.37,0.000195,1416.18
20121201,707.38,0.000118,1426.19
20130101,755.69,0.000019,1498.11
20130201,801.20001,0.000017,1514.68
20130301,794.18799,0.000143,1569.19
20130401,824.57001,0.000165,1597.57
20130501,871.21802,0.000093,1630.74
20130601,880.37,0.000053,1606.28
20130701,887.75,0.000048,1685.73
20130801,846.90002,0.000072,1632.97
20130901,875.90997,0.00004,1681.55
20131001,1030.57996,-0.000018,1756.54
20131101,1059.58997,0.000063,1805.81
20131201,1120.70996,0.000122,1848.36
20140101,1180.96997,0.000149,1782.59
20140201,1215.65002,-0.000023,1859.45
20140301,1114.51001,0.000096,1872.34
20140401,534.88,0.000053,1883.95
20140501,571.65002,0.000029,1923.57
20140601,584.66998,0.000042,1960.23
20140701,579.54999,0.000047,1930.67
20140801,582.35999,0.000022,2003.37
20140901,588.40997,0.000047,1972.29
20141001,567.87,0.000001,2018.05
20141101,549.08002,0.000034,2067.56
20141201,530.65997,0.000001,2058.9
20150101,537.54999,0.000119,1994.99
20150201,562.63,-0.000005,2104.5
20150301,554.70001,-0.000023,2067.89
20150401,548.77002,0.00008,2085.51
20150501,545.32001,0.000038,2107.39
20150601,540.03998,0.000029,2063.11
20150701,657.5,0.000006,2103.84
20150801,647.82001,0.000136,1972.18
20150901,638.37,0.000022,1920.03
20151001,737.39001,-0.000129,2079.36
20151101,762.84998,0.000089,2080.41
20151201,778.01001,0.000249,2043.94
20160101,761.34998,-0.000057,1940.24
20160201,717.21997,0.000341,1932.23
20160301,762.90002,0.000474,2059.74
20160401,707.88,0.000254,2065.3
20160501,748.84998,0.000155,2096.96
20160601,703.53003,0.000437,2098.86
20160701,791.34003,0.000261,2173.6
20160801,789.84998,0.000269,2170.95
20160901,804.06,0.000562,2168.27
20161001,809.90002,0.000282,2126.15
20161101,775.88,0.000123,2198.81
20161201,792.45001,0.000437,2238.83
20170101,820.19,0.000476,2278.87
20170201,844.92999,0.000352,2363.64
20170301,847.79999,0.000384,2362.72
20170401,924.52002,0.000617,2384.2
20170501,987.09003,0.000588,2411.8
20170601,929.67999,0.000873,2423.41
20170701,945.5,0.000917,2470.3
20170801,955.23999,0.000978,2471.65
20170901,973.71997,0.000802,2519.36
20171001,1033.04004,0.000939,2575.26
20171101,1036.17004,0.000951,2647.58
20171201,1053.40002,0.000942,2673.61
20180101,1182.21997,0.001346,2823.81
20180201,1103.92004,0.000969,2713.83
20180301,1037.14001,0.001145,2640.87
20180401,1018.58002,0.001479,2648.05
20180501,1100,0.001491,2705.27
20180601,1129.18994,0.001522,2718.37
20180701,1227.21997,0.001691,2816.29
20180801,1231.80005,0.001675,2901.52
20180901,1207.07996,0.001524,2913.98
20181001,1090.57996,0.001931,2711.74
20181101,1109.65002,0.0019,2760.17
20181201,1044.95996,0.001935,2506.85
20190101,1125.89001,0.001923,2704.1
20190201,1126.55005,0.00174,2784.49
20190301,1176.89001,0.001991,2834.4
20190401,1198.95996,0.002044,2945.83
20190501,1106.5,0.002196,2752.06
20190601,1082.80005,0.002163,2941.76
20190701,1218.19995,0.002002,2980.38
20190801,1190.53003,0.001762,2926.46
20190901,1221.14001,0.001968,2976.74
20191001,1258.80005,0.001961,3037.56
20191101,1304.08997,0.00113,3140.98
20191201,1339.39001,0.001498,3230.78
20200102,1432.78003,0.001308,3225.52
